Team | Manager,Australia - Race 01,China - Race 02,Japan - Race 03,Miami - Race 04,Canada - Race 05,Monaco - Race 06,Barcelona - Race 07,Austria - Race 08,Great Britain - Race 09,Belgium - Race 10,Hungary - Race 11
Snoopy | JR10044,156,416,566,803,1090,1244,1406,1541,1806,1965,2080
Maximum Points | Max Cutter,200,491,663,887,1105,1253,1388,1522,1761,1920,2056
Renault F1 | PJF1,155,408,577,798,1025,1205,1328,1449,1654,1825,1959
Box Box Box | fooch,133,374,513,740,963,1141,1282,1411,1654,1823,1954
We are the competition | lou-mih,143,411,559,735,929,1090,1238,1367,1595,1766,1925
AloeVira | AloeVira,191,442,596,799,1006,1120,1310,1455,1702,1809,1916
Magraith Motorsport | Matt Magraith,142,387,541,771,1006,1161,1304,1399,1621,1722,1844
Bravo Fernando | Adolfo Fernández Benito,189,362,476,641,873,1050,1180,1306,1554,1693,1813
The Vans | Jon Evans,211,391,545,717,916,1033,1181,1345,1566,1697,1802
CrashBangWallop | Simon Rogerson,140,352,505,697,888,1070,1190,1359,1545,1673,1801
Team Caterham | Adrian Jenkins,146,373,518,731,940,1096,1222,1357,1559,1695,1800
No Michael no | michael_sideris,115,332,493,712,934,1064,1215,1364,1592,1696,1790
Need More Speed | Tanuja West,188,408,538,709,917,1029,1150,1309,1535,1671,1781
Blue Flag Racing | pgmotts,165,354,495,688,869,1063,1156,1295,1486,1642,1778
Save The Engine | RichardS,182,387,508,704,863,986,1145,1311,1485,1617,1768
HHHHHH | harves,187,385,513,658,879,1059,1214,1343,1529,1662,1763
lance strolls brake pedal | daniellecheng,183,444,571,774,966,1044,1170,1280,1505,1656,1756
Howdy Audi | Pete M,138,373,498,689,887,994,1115,1264,1480,1621,1731
Double Parked | Patrick Maraun,200,448,554,700,899,994,1145,1271,1504,1616,1704
WeeWums | Ham_27,121,372,544,712,927,1029,1125,1228,1440,1574,1695
joyride | joydelacruz,153,314,453,600,805,956,1089,1206,1407,1529,1647
Ferrari strategy department | Goodie,167,381,496,636,837,1042,1129,1226,1403,1548,1640
Just an Inchident | CharlotteWareham,167,390,519,705,912,1033,1121,1242,1413,1545,1625
Machined Wheel Nut | Jean Alesi,155,335,467,608,782,950,1040,1127,1333,1450,1588
Murrays Mayhem | Martin West,146,341,465,644,839,994,1053,1164,1322,1443,1557
Give me the drink | Zeke,178,404,539,694,880,967,1025,1118,1321,1449,1545
vansF1 | Andries,74,250,363,478,646,818,899,1010,1202,1378,1534
I thought this was Mario Kart | sl,113,343,466,705,822,952,1086,1203,1359,1457,1530
Strolling to Last Place | dmack,130,353,449,618,828,922,983,1081,1282,1419,1515
Watts Up Racing | NellieWhiteside,113,234,394,623,808,934,1014,1116,1318,1436,1510
bubblegun | Ruan01,165,405,520,704,877,997,1050,1138,1287,1416,1503
Petch Racing | Christiaan,140,312,402,509,690,813,940,1091,1272,1402,1503
Doohanok | garettann,61,207,341,540,695,831,1009,1138,1312,1414,1500
Buzzin with Eddie | Alan Thomas,127,296,397,540,721,858,922,984,1208,1317,1412
Nord Racing | ariel_h,145,265,370,533,696,787,887,1008,1183,1299,1395
AureConstructors Championship | Corey McDonald,155,270,357,485,646,725,836,969,1167,1293,1382
Ibis2026 | Pri Kumar,91,213,326,519,701,815,890,997,1148,1266,1377
Piastroying The Grid | BOS,67,192,333,534,697,836,934,1043,1186,1302,1357
No Mikey No | Kevin de Silva,156,344,442,593,754,832,901,1015,1182,1267,1352
QuantumSpeed | redflag,112,313,391,523,683,801,911,1029,1195,1260,1331
Octopus Ross | deciMal_oNion,115,266,375,554,688,775,915,988,1112,1188,1242
Car Go Vroom Vroom Super Fast | Emily Tantau,82,220,337,488,623,720,767,842,1005,1119,1188
Feeling Bullish | Devmal,118,229,295,393,547,653,760,855,980,1095,1187
ALMOCO | Scorched Almond,107,225,310,489,646,738,838,909,1045,1124,1166
Piastronimical Speedy | Chelsea Innes,68,203,302,489,603,709,786,863,993,1078,1136
Fernando is faster than you | AdrianoRS,0,0,0,0,0,0,0,0,0,0,0
